,Max,Min,Mean,Std,RMS,Skewness,Kurtosis,P2P,Crest Factor,Variance,Fault,Defect
515,1.1,-0.3,0.164315895,0.087430506,0.186107809,1.150240893,14.6081044,0.8,5.910552619,0.007644093,Healthy,No
516,0.96,-0.1,0.128212121,0.079542012,0.150860495,1.862331306,16.92917705,0.86,6.363494971,0.006326932,Healthy,No
517,1.0,-0.2,0.129364919,0.093240247,0.15943733,2.955554053,25.39202918,0.8,6.272056876,0.008693744,Healthy,No
518,0.47,-0.9,0.124726721,0.081103248,0.148754274,-1.906377382,25.1968163,-0.43,3.159573084,0.006577737,Healthy,No
519,0.97,-0.8,0.125301811,0.084211642,0.150947044,-0.46005214,25.42881742,0.17,6.426094708,0.007091601,Healthy,No
520,0.39,-0.1,0.125546559,0.069295228,0.143383775,0.110975366,0.148466219,0.29,2.719973027,0.004801829,Healthy,No
521,1.1,-0.1,0.130426829,0.095317752,0.161515938,3.779598367,32.12089922,1.0,6.810473385,0.009085474,Healthy,No
522,0.41,-0.1,0.11945674,0.071866965,0.139390019,0.235981721,0.192713702,0.31,2.941387068,0.005164861,Healthy,No
523,0.41,-0.2,0.120676085,0.075909615,0.142545335,0.177071858,0.144675454,0.21,2.876277921,0.00576227,Healthy,No
524,1.1,-0.1,0.17332997,0.080784106,0.191213924,3.029752306,33.93365281,1.0,5.752719126,0.006526072,Healthy,No
525,0.9,-0.9,0.124262462,0.085606976,0.150871662,-0.873138678,26.76198739,0.0,5.965334962,0.007328554,Healthy,No
526,0.41,-0.2,0.126944724,0.07623109,0.148055062,-0.104594561,0.738270283,0.21,2.769239993,0.005811179,Healthy,No
527,0.93,-0.8,0.123141414,0.086252915,0.150319189,-0.247729905,20.19262664,0.13,6.186834869,0.007439565,Healthy,No
528,0.91,-0.2,0.123511604,0.084262574,0.14949292,0.741915441,7.569827444,0.71,6.087244791,0.007100181,Healthy,No
529,0.45,-0.9,0.123147773,0.08877707,0.15178526,-1.524947195,18.54060715,-0.45,2.964714754,0.007881368,Healthy,No
530,0.48,-0.2,0.120985915,0.085993008,0.148408051,0.317210609,0.486547618,0.28,3.234325872,0.007394797,Healthy,No
531,0.41,-0.2,0.121331988,0.081316452,0.14603816,0.060532645,0.420450384,0.21,2.807485378,0.006612365,Healthy,No
532,1.1,-0.9,0.122729104,0.090600061,0.152520614,-0.085736407,29.20628505,0.2,7.212139851,0.008208371,Healthy,No
533,0.39,-0.2,0.118728557,0.078057205,0.142067763,0.021998087,0.179198075,0.19,2.74516887,0.006092927,Healthy,No
534,1.13,-0.1,0.174145602,0.083237885,0.192998007,3.030386789,32.54728254,1.03,5.854982754,0.006928546,Healthy,No
535,0.45,-1.0,0.122121827,0.094061828,0.15411809,-3.088116624,35.81240426,-0.55,2.919838929,0.008847627,Healthy,No
536,0.38,-0.1,0.123397566,0.080171885,0.147132497,0.201744875,-0.136465417,0.28,2.582706121,0.006427531,Healthy,No
537,0.45,-0.2,0.119392713,0.082379971,0.145031757,0.107950496,0.807288876,0.25,3.102768728,0.00678646,Healthy,No
538,0.44,-0.2,0.120664653,0.07931385,0.144375587,-0.073629228,0.652665516,0.24,3.047606653,0.006290687,Healthy,No
539,0.41,-0.2,0.120261569,0.081620866,0.14532071,0.126719295,0.383787878,0.21,2.82134598,0.006661966,Healthy,No
540,0.88,-1.0,0.12183283,0.091421702,0.152291658,-1.00753497,27.1400765,-0.12,5.778386083,0.008357928,Healthy,No
